Transect,S,N (%),d,J,H,1-D,A,O,Ws,others,bare,water,ice,litter,moss,plants
S2-01,10,94,1.98,0.45,1.51,0.41,10,84,0,0,10,28,0,12,2,48
S2-02,16,116,3.16,0.88,3.53,0.88,38,66,2,10,6,28,0,6,0,60
S2-03,11,102,2.16,0.85,2.95,0.83,12,78,4,8,2,20,6,10,0,62
S2-04,12,110,2.34,0.80,2.88,0.82,4,92,4,10,12,12,0,0,0,76
S2-05,11,106,2.14,0.84,2.92,0.84,0,76,14,16,8,2,20,4,2,64
S2-06,8,116,1.47,0.77,2.30,0.74,50,62,0,4,10,10,16,0,0,64
S2-07,9,126,1.65,0.74,2.34,0.72,60,66,0,0,0,12,2,0,2,84
S2-08,10,106,1.93,0.79,2.62,0.79,16,84,6,0,4,14,14,4,2,62
S1-01,8,118,1.47,0.76,2.27,0.75,2,110,2,4,8,0,2,12,0,78
S1-03,12,118,2.31,0.81,2.89,0.81,8,92,12,6,26,0,0,6,0,68
S1-05,15,110,2.98,0.86,3.36,0.88,16,68,22,4,16,12,0,12,4,56
S3-02,8,116,1.47,0.71,2.14,0.67,0,96,2,18,8,0,0,14,0,78
S3-03,15,154,2.78,0.87,3.41,0.89,22,92,6,34,6,2,0,2,2,88
S3-04,12,114,2.32,0.75,2.68,0.76,54,58,0,2,16,20,2,0,0,62
